Parameter,Estimate,Est. Error,lower,upper,95% CI,sim_id
Intercept,-0.4271906,0.553794,-1.5238697,0.6369378,"[-1.5238697, 0.6369378]",121
z_age_days,0.0033114,0.0022815,-0.0010648,0.0078219,"[-0.0010648, 0.0078219]",121
Intercept,0.8489117,0.5726409,-0.2844506,1.9642813,"[-0.2844506, 1.9642813]",166
z_age_days,-0.001903,0.0024067,-0.0065762,0.0028609,"[-0.0065762, 0.0028609]",166
Intercept,0.1186,0.5257784,-0.9063797,1.1508632,"[-0.9063797, 1.1508632]",56
z_age_days,9.731e-4,0.0022048,-0.0032119,0.0054043,"[-0.0032119, 0.0054043]",56
Intercept,-0.3472212,0.5683644,-1.440923,0.7908651,"[-1.440923, 0.7908651]",34
z_age_days,0.0029896,0.0023161,-0.0015608,0.0075248,"[-0.0015608, 0.0075248]",34
Intercept,0.4121753,0.5411253,-0.6732361,1.4647591,"[-0.6732361, 1.4647591]",100
z_age_days,1.566e-4,0.0021997,-0.0042325,0.0044466,"[-0.0042325, 0.0044466]",100
Intercept,-0.8265245,0.5666514,-1.9094611,0.2891804,"[-1.9094611, 0.2891804]",188
z_age_days,0.0051668,0.0023328,6.053e-4,0.0096548,"[0.0006053, 0.0096548]",188
Intercept,1.0553805,0.5378027,0.0174617,2.1014956,"[0.0174617, 2.1014956]",79
z_age_days,-0.0025116,0.0022409,-0.0068363,0.0018248,"[-0.0068363, 0.0018248]",79
Intercept,-0.745864,0.5601107,-1.8007386,0.3945089,"[-1.8007386, 0.3945089]",145
z_age_days,0.0046076,0.0023384,8.41e-5,0.0092036,"[8.41e-05, 0.0092036]",145
Intercept,-0.467985,0.633424,-1.7259368,0.7413444,"[-1.7259368, 0.7413444]",122
z_age_days,0.0036121,0.0026268,-0.0012668,0.0089421,"[-0.0012668, 0.0089421]",122
Intercept,0.2161841,0.534765,-0.842846,1.2459353,"[-0.842846, 1.2459353]",57
z_age_days,7.998e-4,0.0021908,-0.0035991,0.0049585,"[-0.0035991, 0.0049585]",57
Intercept,0.2388288,0.5508666,-0.8069421,1.3445019,"[-0.8069421, 1.3445019]",167
z_age_days,7.263e-4,0.0022354,-0.0035803,0.005131,"[-0.0035803, 0.005131]",167
Intercept,-0.4619963,0.5474986,-1.5213781,0.6267457,"[-1.5213781, 0.6267457]",35
z_age_days,0.0035584,0.0022431,-9.212e-4,0.0078814,"[-0.0009212, 0.0078814]",35
Intercept,0.4497838,0.5531383,-0.6324508,1.5422263,"[-0.6324508, 1.5422263]",189
z_age_days,-1.922e-4,0.0022901,-0.0047117,0.0042296,"[-0.0047117, 0.0042296]",189
Intercept,-0.6552692,0.5854124,-1.7896417,0.5006044,"[-1.7896417, 0.5006044]",101
z_age_days,0.0045434,0.0024593,-2.121e-4,0.0093795,"[-0.0002121, 0.0093795]",101
Intercept,-0.6673362,0.5635505,-1.7809305,0.4203917,"[-1.7809305, 0.4203917]",80
z_age_days,0.0042936,0.0023102,-7.01e-5,0.0089636,"[-7.01e-05, 0.0089636]",80
Intercept,1.2054442,0.5319856,0.1780853,2.2487093,"[0.1780853, 2.2487093]",123
z_age_days,-0.0034145,0.0021696,-0.0077045,7.837e-4,"[-0.0077045, 0.0007837]",123
Intercept,1.0533341,0.606763,-0.1240102,2.2501769,"[-0.1240102, 2.2501769]",146
z_age_days,-0.0025332,0.0025009,-0.00761,0.0021444,"[-0.00761, 0.0021444]",146
Intercept,1.0268397,0.5422831,-0.0174248,2.0932903,"[-0.0174248, 2.0932903]",168
z_age_days,-0.0027559,0.0022411,-0.0071366,0.0016358,"[-0.0071366, 0.0016358]",168
Intercept,0.3164123,0.5667651,-0.7551679,1.4741492,"[-0.7551679, 1.4741492]",58
z_age_days,3.629e-4,0.0023289,-0.0042609,0.0048678,"[-0.0042609, 0.0048678]",58
Intercept,0.1535675,0.5748107,-0.9794561,1.2580303,"[-0.9794561, 1.2580303]",36
z_age_days,9.29e-4,0.0023721,-0.0035428,0.0057311,"[-0.0035428, 0.0057311]",36
Intercept,-1.1916964,0.5748665,-2.307014,-0.0494315,"[-2.307014, -0.0494315]",102
z_age_days,0.0065599,0.0023586,0.0019654,0.0111604,"[0.0019654, 0.0111604]",102
Intercept,0.5475447,0.5480912,-0.5641495,1.5864555,"[-0.5641495, 1.5864555]",81
z_age_days,-5.84e-4,0.0022465,-0.0050435,0.0038187,"[-0.0050435, 0.0038187]",81
Intercept,0.0130273,0.639957,-1.197967,1.3209849,"[-1.197967, 1.3209849]",190
z_age_days,0.0016452,0.0026078,-0.0034935,0.0067178,"[-0.0034935, 0.0067178]",190
Intercept,-0.1887689,0.581969,-1.317805,0.9657953,"[-1.317805, 0.9657953]",147
z_age_days,0.0024771,0.0024323,-0.0022018,0.0073767,"[-0.0022018, 0.0073767]",147
Intercept,0.6920266,0.5781489,-0.4668762,1.8180236,"[-0.4668762, 1.8180236]",124
z_age_days,-0.0011853,0.0024154,-0.0059001,0.0036541,"[-0.0059001, 0.0036541]",124
Intercept,-0.6926957,0.5562576,-1.7746584,0.3979232,"[-1.7746584, 0.3979232]",169
z_age_days,0.0045937,0.0023127,2.769e-4,0.0093648,"[0.0002769, 0.0093648]",169
Intercept,0.4365891,0.5359867,-0.6326928,1.4751867,"[-0.6326928, 1.4751867]",59
z_age_days,-7e-5,0.0022102,-0.0042708,0.0044041,"[-0.0042708, 0.0044041]",59
Intercept,0.3154316,0.5972583,-0.8400636,1.5155609,"[-0.8400636, 1.5155609]",37
z_age_days,4.337e-4,0.0024897,-0.0042616,0.0054917,"[-0.0042616, 0.0054917]",37
Intercept,1.9633044,0.578449,0.7958438,3.0693567,"[0.7958438, 3.0693567]",103
z_age_days,-0.0063837,0.0023742,-0.0110017,-0.0016945,"[-0.0110017, -0.0016945]",103
Intercept,1.0089002,0.5490923,-0.0308741,2.1309353,"[-0.0308741, 2.1309353]",82
z_age_days,-0.002487,0.0022806,-0.0070735,0.0018754,"[-0.0070735, 0.0018754]",82
Intercept,-0.5205773,0.5921253,-1.6862399,0.6423172,"[-1.6862399, 0.6423172]",191
z_age_days,0.003765,0.0024516,-0.0011889,0.0084336,"[-0.0011889, 0.0084336]",191
Intercept,1.730854,0.6219612,0.5372007,2.9498729,"[0.5372007, 2.9498729]",148
z_age_days,-0.0052666,0.0025243,-0.0101772,-3.47e-4,"[-0.0101772, -0.000347]",148
Intercept,0.4022228,0.5562596,-0.6764175,1.5027971,"[-0.6764175, 1.5027971]",170
z_age_days,-1.063e-4,0.0023099,-0.00459,0.0044734,"[-0.00459, 0.0044734]",170
Intercept,-0.3107478,0.5973956,-1.5101635,0.8555024,"[-1.5101635, 0.8555024]",125
z_age_days,0.0030926,0.0024833,-0.0019111,0.0078599,"[-0.0019111, 0.0078599]",125
Intercept,0.1588113,0.5758079,-0.9959534,1.2607732,"[-0.9959534, 1.2607732]",60
z_age_days,0.0011083,0.0023855,-0.0035584,0.0057529,"[-0.0035584, 0.0057529]",60
Intercept,-0.8447658,0.5777696,-1.9960303,0.2663342,"[-1.9960303, 0.2663342]",38
z_age_days,0.0050448,0.0023868,3.891e-4,0.0097497,"[0.0003891, 0.0097497]",38
Intercept,-0.1030592,0.5475603,-1.1650933,0.9679294,"[-1.1650933, 0.9679294]",104
z_age_days,0.0021762,0.0022458,-0.0021605,0.0065706,"[-0.0021605, 0.0065706]",104
Intercept,-0.5737415,0.5410694,-1.6396638,0.4986453,"[-1.6396638, 0.4986453]",83
z_age_days,0.0038384,0.0022461,-6.5e-4,0.0082039,"[-0.00065, 0.0082039]",83
Intercept,0.9101207,0.5607525,-0.1277359,2.0755347,"[-0.1277359, 2.0755347]",149
z_age_days,-0.0020911,0.0022587,-0.006708,0.0021445,"[-0.006708, 0.0021445]",149
Intercept,-0.3191002,0.530398,-1.3444037,0.7279385,"[-1.3444037, 0.7279385]",126
z_age_days,0.0028539,0.0021931,-0.0013286,0.007296,"[-0.0013286, 0.007296]",126
Intercept,-0.3580848,0.6503171,-1.6338642,0.9107295,"[-1.6338642, 0.9107295]",171
z_age_days,0.0031749,0.0027373,-0.0021132,0.0086082,"[-0.0021132, 0.0086082]",171
Intercept,0.5667474,0.5344507,-0.48348410000000003,1.615892,"[-0.4834841, 1.615892]",39
z_age_days,-7.576e-4,0.002206,-0.0051717,0.0035147,"[-0.0051717, 0.0035147]",39
