Parameter,Estimate,Est. Error,lower,upper,95% CI,sim_id
Intercept,0.5640591,0.0717652,0.4227806,0.7032589,"[0.4227806, 0.7032589]",198
z_age_days,-0.0185565,0.1060755,-0.2196193,0.1943192,"[-0.2196193, 0.1943192]",198
Intercept,0.5294193,0.0751701,0.3818318,0.674824,"[0.3818318, 0.674824]",228
z_age_days,-0.1295772,0.1053256,-0.337786,0.0792153,"[-0.337786, 0.0792153]",228
Intercept,0.5283458,0.0721673,0.3868766,0.6678733,"[0.3868766, 0.6678733]",18
z_age_days,0.1386614,0.1241266,-0.104806,0.390629,"[-0.104806, 0.390629]",18
Intercept,0.5907145,0.0750247,0.4470265,0.7396221,"[0.4470265, 0.7396221]",108
z_age_days,-0.0379909,0.1033108,-0.2431134,0.1615871,"[-0.2431134, 0.1615871]",108
Intercept,0.608678,0.074091,0.4636276,0.7537839,"[0.4636276, 0.7537839]",78
z_age_days,-0.0972588,0.1061399,-0.3069868,0.1107324,"[-0.3069868, 0.1107324]",78
Intercept,0.5862829,0.0803156,0.4302463,0.7462835,"[0.4302463, 0.7462835]",138
z_age_days,-0.1492068,0.1111227,-0.3624991,0.0729523,"[-0.3624991, 0.0729523]",138
Intercept,0.56527,0.0717212,0.426746,0.7070615,"[0.426746, 0.7070615]",49
